Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Direction
"Bangalore,Karnataka,India",1/1/2014,65,84.1,76.7,60.9,59.23,84.3,13.9,90
"Bangalore,Karnataka,India",1/2/2014,65,80.5,72.2,61.4,69.94,81.7,6.9,77.5
"Bangalore,Karnataka,India",1/2/2014,75.8,84.1,79,58.9,50.27,84.3,9.2,76.67
"Bangalore,Karnataka,India",1/3/2014,63.8,63.8,63.8,57.8,81,,2.2,
"Bangalore,Karnataka,India",1/3/2014,75.8,85.9,81.2,63.5,55.33,87.4,9.2,95.71
"Bangalore,Karnataka,India",1/4/2014,64.7,89.5,79.8,49.3,36.73,85.7,11.4,94.29
"Bangalore,Karnataka,India",1/4/2014,78.2,87.7,82.9,44.2,26.01,84.4,9.2,95
"Bangalore,Karnataka,India",1/5/2014,63.8,78.7,72.5,60.2,69.64,,10.3,145
"Bangalore,Karnataka,India",1/5/2014,80.7,89.5,86.1,49.9,29.11,86.9,9.2,70
"Bangalore,Karnataka,India",1/6/2014,66.8,91.3,84.5,47.7,30.03,87.8,11.4,70
"Bangalore,Karnataka,India",1/7/2014,64.1,87.7,77,55.1,51.97,84.8,11.4,85
"Bangalore,Karnataka,India",1/7/2014,79.1,87.7,84.4,49.1,29.66,85,12.8,75
"Bangalore,Karnataka,India",1/8/2014,63.2,75.1,69.2,61.1,75.5,,12.8,90
"Bangalore,Karnataka,India",1/8/2014,75.3,85.9,81.3,59.1,47.5,85.4,11.4,92.5
"Bangalore,Karnataka,India",1/9/2014,63.8,87.7,79,59.8,53.77,87,13.9,140
"Bangalore,Karnataka,India",1/9/2014,78.2,85.9,82,57.9,44.12,85.4,6.9,80
"Bangalore,Karnataka,India",1/10/2014,65.6,82.3,74.9,62.1,65.93,84.5,5.8,86.67
"Bangalore,Karnataka,India",1/10/2014,80.7,85.9,83,57.7,42.14,85.4,4.7,90
"Bangalore,Karnataka,India",1/11/2014,65,89.5,82,56.3,44.27,87.3,6.9,95
"Bangalore,Karnataka,India",1/12/2014,65,89.5,79.1,57.6,52.11,86.6,3.4,115
"Bangalore,Karnataka,India",1/12/2014,83.6,91.3,87.3,48.9,27.34,87.8,3.4,90
"Bangalore,Karnataka,India",1/13/2014,63.8,71.5,67.6,62.2,82.85,,5.8,85
"Bangalore,Karnataka,India",1/13/2014,76.7,89.5,83.3,53.9,37.49,87.3,10.3,93.75
"Bangalore,Karnataka,India",1/14/2014,67.4,87.7,80.6,53.7,40.66,85.3,10.3,88.75
"Bangalore,Karnataka,India",1/14/2014,80.7,87.7,84.2,52.8,34.14,85.6,8.1,95
"Bangalore,Karnataka,India",1/15/2014,65,78.7,74.7,58.5,57.92,,8.1,112.5
"Bangalore,Karnataka,India",1/15/2014,80,87.7,85.3,55.7,36.7,86,8.1,112
"Bangalore,Karnataka,India",1/16/2014,67.7,87.7,80.9,61.8,53.59,87.6,10.3,107.78
"Bangalore,Karnataka,India",1/17/2014,66.5,85.9,78.3,59.4,54.1,84.9,8.1,108.33
"Bangalore,Karnataka,India",1/17/2014,77.6,85.9,82.5,56.1,40.5,85.4,9.2,95
"Bangalore,Karnataka,India",1/18/2014,63.2,75.1,69.2,62,78.09,,9.2,80
"Bangalore,Karnataka,India",1/18/2014,74.9,87.7,82.2,57.7,44.27,87,8.1,97.14
"Bangalore,Karnataka,India",1/19/2014,65,85.9,78,62.7,61.19,85.9,11.4,87.14
"Bangalore,Karnataka,India",1/19/2014,79.1,85.9,82.5,59.3,45.52,85.9,12.8,100
"Bangalore,Karnataka,India",1/20/2014,66.5,78.7,72.9,63.9,73.6,,13.9,82.5
"Bangalore,Karnataka,India",1/20/2014,76.4,84.1,81.8,59.8,47.26,85.6,13.9,101.67
"Bangalore,Karnataka,India",1/21/2014,62.7,84.1,77.2,58.2,53.39,83.8,12.8,102.22
"Bangalore,Karnataka,India",1/22/2014,64.5,82.3,75.2,59.4,59.5,82,13.9,110
"Bangalore,Karnataka,India",1/22/2014,76.7,84.1,81.1,56.4,43.01,83.8,12.8,105
"Bangalore,Karnataka,India",1/23/2014,62,73.3,67.6,60.3,77.69,,8.1,105
"Bangalore,Karnataka,India",1/23/2014,77.1,87.7,81.8,55.8,41.64,86,9.2,77.14
"Bangalore,Karnataka,India",1/24/2014,66.5,87.7,79.5,61.7,56.65,88.4,6.9,96
"Bangalore,Karnataka,India",1/24/2014,81.2,87.7,84.5,57.9,40.71,87,6.9,50
"Bangalore,Karnataka,India",1/25/2014,65.6,78.7,73.9,60.1,62.38,,12.8,90
"Bangalore,Karnataka,India",1/25/2014,79.4,87.7,84.6,57.1,39.39,87,11.4,88.33
"Bangalore,Karnataka,India",1/26/2014,64.5,85.9,79.2,57.3,48.44,85.4,18.3,92.22
"Bangalore,Karnataka,India",1/27/2014,64.1,84.1,76.3,58.6,55.9,83.4,15,86.67
"Bangalore,Karnataka,India",1/27/2014,76.7,84.1,81.4,55.4,40.87,83.4,13.9,85
"Bangalore,Karnataka,India",1/28/2014,62,73.3,67.6,61.5,80.87,,8.1,110
"Bangalore,Karnataka,India",1/28/2014,75.8,85.9,81.3,54.1,39.4,84.1,12.8,86.25
"Bangalore,Karnataka,India",1/29/2014,63.8,87.7,78.8,58,52.13,85.3,9.2,130
"Bangalore,Karnataka,India",1/29/2014,80.3,85.9,83.1,51.2,33.25,83.8,5.8,120
"Bangalore,Karnataka,India",1/30/2014,63.8,76.9,72.5,59.1,64.11,,8.1,100
"Bangalore,Karnataka,India",1/30/2014,80.7,85.9,83.1,55.9,39.49,84.9,8.1,66
"Bangalore,Karnataka,India",1/31/2014,64.5,87.7,80.4,53.1,40.95,85.3,10.3,60
"Bangalore,Karnataka,India",1/31/2014,64.5,87.7,80.4,53.1,40.95,85.3,10.3,60
"Bangalore,Karnataka,India",2/1/2014,65,84.1,77,62.3,61.71,84.3,11.4,105
"Bangalore,Karnataka,India",2/1/2014,80.7,87.7,84.2,58.5,42.06,86.5,8.1,85
"Bangalore,Karnataka,India",2/2/2014,66.3,76.9,71.6,61.7,71.06,,10.3,100
"Bangalore,Karnataka,India",2/2/2014,77.6,87.7,83.4,59.9,45.8,86.5,11.4,81.25
"Bangalore,Karnataka,India",2/3/2014,65,91.3,81.6,52.5,38.74,88,10.3,103.33
"Bangalore,Karnataka,India",2/3/2014,84.8,91.3,88.1,46.9,24.28,87.8,5.8,50
"Bangalore,Karnataka,India",2/4/2014,68.3,80.7,77,60.1,57.22,81.7,8.1,90
"Bangalore,Karnataka,India",2/4/2014,85.7,91.3,88.9,50.6,27.16,88.3,10.3,43.33
"Bangalore,Karnataka,India",2/5/2014,68.6,93.1,85.4,47.9,30.08,88.9,9.2,75
"Bangalore,Karnataka,India",2/6/2014,69.9,91.3,83.5,49,32.01,87.8,9.2,76
"Bangalore,Karnataka,India",2/6/2014,86.6,91.3,89.4,40.1,17.85,87.3,10.3,177.5
"Bangalore,Karnataka,India",2/7/2014,69.9,80.5,75.2,45.1,34.41,79.7,8.1,105
"Bangalore,Karnataka,India",2/7/2014,82.1,91.3,87.4,38.3,17.91,87.2,10.3,78.75
"Bangalore,Karnataka,India",2/8/2014,67.7,91.3,83.7,42.8,25.44,87.4,11.4,111.67
"Bangalore,Karnataka,India",2/8/2014,85.4,91.3,88.3,40.5,18.99,87.2,8.1,90
"Bangalore,Karnataka,India",2/9/2014,68.3,82.3,77.9,49.5,37.95,80.9,6.9,143.33
"Bangalore,Karnataka,India",2/9/2014,82.1,93.1,89.3,44.1,21.15,89.3,5.8,
"Bangalore,Karnataka,India",2/10/2014,70.4,93.1,84.8,56.9,41.26,90.8,5.8,156
"Bangalore,Karnataka,India",2/11/2014,69.9,89.5,82,45.7,28.2,86.6,11.4,142
"Bangalore,Karnataka,India",2/11/2014,84.3,91.3,88.3,47,24.12,88,4.7,93.33
"Bangalore,Karnataka,India",2/12/2014,68.1,78.7,73.4,55.7,54.94,,10.3,170
"Bangalore,Karnataka,India",2/12/2014,80.7,89.5,85.8,48.2,27.36,86.6,11.4,152.5
"Bangalore,Karnataka,India",2/13/2014,69.5,89.5,82.2,61.2,50.46,88.7,10.3,147.14
"Bangalore,Karnataka,India",2/13/2014,86.6,89.5,88.1,57.5,35.61,88.7,5.8,145
"Bangalore,Karnataka,India",2/14/2014,68.1,78.7,74.9,66.6,76.12,,4.7,160
"Bangalore,Karnataka,India",2/14/2014,85.9,91.3,87.8,60.5,40.82,90.2,5.8,180
"Bangalore,Karnataka,India",2/15/2014,70.1,89.5,82.7,63.4,54.36,88.7,6.9,223.33
"Bangalore,Karnataka,India",2/16/2014,70.4,85.9,79.9,61,53.41,85.9,8.1,255
"Bangalore,Karnataka,India",2/16/2014,80.9,85.9,83.8,62.1,48.31,85.9,5.8,313.33
"Bangalore,Karnataka,India",2/17/2014,70.1,82.3,76.2,58.6,55.17,82.8,2.2,90
"Bangalore,Karnataka,India",2/17/2014,82.1,91.3,87.6,54.9,33.32,89.9,6.9,120
"Bangalore,Karnataka,India",2/18/2014,68.6,87.7,81,65.7,60.61,90.2,15,105
"Bangalore,Karnataka,India",2/18/2014,83,87.7,85.4,63.5,48.13,89.2,9.2,105
"Bangalore,Karnataka,India",2/19/2014,68.1,78.7,75.5,65.1,71.02,,9.2,115
"Bangalore,Karnataka,India",2/19/2014,81.8,89.5,85.3,62.4,46.44,90.2,9.2,126
"Bangalore,Karnataka,India",2/20/2014,68.1,87.7,80.6,63.2,57.39,89.2,9.2,108.75
"Bangalore,Karnataka,India",2/21/2014,68.1,87.8,78.5,66.8,68.53,90.3,5.8,137.5
"Bangalore,Karnataka,India",2/21/2014,84.9,91.4,88.1,63.2,43.99,92.2,4.7,75
"Bangalore,Karnataka,India",2/22/2014,68.1,77,72.6,64,74.85,,4.7,149.5
"Bangalore,Karnataka,India",2/22/2014,81.3,93.2,87.2,57.7,37.57,91.4,5.8,90.2
"Bangalore,Karnataka,India",2/23/2014,65.6,91.4,82.6,58.4,47.86,89.5,8.1,117.29
"Bangalore,Karnataka,India",2/23/2014,84.9,91.4,88.1,51.9,29,89.1,8.1,105
"Bangalore,Karnataka,India",2/24/2014,66.3,84.2,77.6,56.3,50.12,83.1,12.8,105
